title,pubDate,link
L’éditeur de jeux vidéo Electronic Arts victime de cybercriminels,"Fri, 11 Jun 2021 02:56:08 +0200",https://www.lemonde.fr/pixels/article/2021/06/11/l-editeur-de-jeux-video-electronic-arts-victime-de-cybercriminels_6083663_4408996.html
"« Elden Ring », « Metal Slug Tactics », « Planet of Lana » : les annonces du Summer Game Fest","Fri, 11 Jun 2021 01:12:06 +0200",https://www.lemonde.fr/pixels/article/2021/06/11/elden-ring-metal-slug-tactics-planet-of-lana-les-annonces-du-summer-game-fest_6083658_4408996.html
Copa America 2021 : la Cour suprême brésilienne donne son feu vert à la tenue de la compétition,"Thu, 10 Jun 2021 23:44:38 +0200",https://www.lemonde.fr/sport/article/2021/06/10/copa-america-2021-la-cour-supreme-bresilienne-donne-son-feu-vert-a-la-tenue-de-la-competition_6083657_3242.html
Joe Biden restaure l’image des Etats-Unis à l’étranger sans effacer les doutes sur le modèle démocratique américain,"Thu, 10 Jun 2021 23:00:35 +0200",https://www.lemonde.fr/international/article/2021/06/10/joe-biden-restaure-l-image-des-etats-unis-a-l-etranger-sans-effacer-les-doutes-sur-le-modele-democratique-americain_6083656_3210.html
"Algérie : Karim Tabbou et Ihsane El Kadi, deux figures de la contestation arrêtées à deux jours des élections","Thu, 10 Jun 2021 22:59:25 +0200",https://www.lemonde.fr/afrique/article/2021/06/10/algerie-karim-tabbou-et-ihsane-el-kadi-deux-figures-de-la-contestation-arretees-a-deux-jours-des-elections_6083655_3212.html
"Au procès de l’homme qui a giflé Emmanuel Macron, les motivations incertaines d’un prévenu inconnu de la justice","Thu, 10 Jun 2021 22:50:04 +0200",https://www.lemonde.fr/police-justice/article/2021/06/10/au-proces-de-l-homme-qui-a-gifle-emmanuel-macron-les-motivations-incertaines-d-un-prevenu-inconnu-de-la-justice_6083654_1653578.html
"« Ni bradés, ni soumis » : les psychologues et les psychothérapeutes manifestent contre la « précarisation » de leur métier","Thu, 10 Jun 2021 22:15:54 +0200",https://www.lemonde.fr/societe/article/2021/06/10/ni-brades-ni-soumis-les-psychologues-et-les-psychotherapeutes-manifestent-contre-la-precarisation-de-leur-metier_6083652_3224.html
"Euro 2021 : Kylian Mbappé, une histoire de la France et de la banlieue","Thu, 10 Jun 2021 18:00:14 +0200",https://www.lemonde.fr/football/article/2021/06/10/euro-2021-mbappe-l-omnipresent-kylian-de-bondy_6083634_1616938.html
"La Tchèque Barbora Krejcikova jouera samedi sa première finale de Grand Chelem. La 33e joueuse mondiale s’est qualifiée en éliminant la Grecque Maria Sakkari (7-5, 4-6, 9-7).","Thu, 10 Jun 2021 17:00:50 +0200",https://www.lemonde.fr/tennis/article/2021/06/10/roland-garros-premiere-finale-de-grand-chelem-pour-anastasia-pavlyuchenkova_6083628_1616659.html
"Malgré les dissensions internes, la BCE maintient son soutien monétaire","Thu, 10 Jun 2021 21:14:08 +0200",https://www.lemonde.fr/economie/article/2021/06/10/malgre-les-dissensions-internes-la-bce-maintient-son-soutien-monetaire_6083650_3234.html
"Barkhane, dons de vaccins, haine en ligne : les points essentiels de la conférence de presse d’Emmanuel Macron","Thu, 10 Jun 2021 20:44:37 +0200",https://www.lemonde.fr/international/article/2021/06/10/fin-de-l-operation-barkhane-dons-de-vaccins-haine-en-ligne-les-points-essentiels-de-la-conference-de-presse-d-emmanuel-macron_6083647_3210.html
"Le G7, un sommet sous haute surveillance sanitaire","Thu, 10 Jun 2021 20:27:20 +0200",https://www.lemonde.fr/international/article/2021/06/10/le-g7-un-sommet-sous-haute-surveillance-sanitaire_6083646_3210.html
